"Type","Status","Nationality","2017","2018","2019","2020","2021","2022","2023","2024"
"Domestic Residence & Permissions applications","Received","Solomon Islands","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Somalia","8","28","71","137","247","1249","1458","928"
"Domestic Residence & Permissions applications","Received","South Africa","202","304","422","381","507","791","748","607"
"Domestic Residence & Permissions applications","Received","South Georgia and the South Sandwich Islands","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","South Sudan","0","*","*","*","*","*","*","4"
"Domestic Residence & Permissions applications","Received","Sri Lanka","16","21","20","11","21","48","30","41"
"Domestic Residence & Permissions applications","Received","Sudan (the)","31","43","57","43","45","86","163","103"
"Domestic Residence & Permissions applications","Received","Suriname","*","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Svalbard and Jan Mayen","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Switzerland","*","*","0","0","0","*","*","0"
"Domestic Residence & Permissions applications","Received","Syrian Arab Republic (the)","9","15","29","47","36","54","90","53"
"Domestic Residence & Permissions applications","Received","Taiwan (Province of China)","4","8","9","8","7","21","20","6"
"Domestic Residence & Permissions applications","Received","Tajikistan","0","0","0","0","0","*","0","0"
"Domestic Residence & Permissions applications","Received","Tanzania, the United Republic of","5","9","21","10","10","26","21","19"
"Domestic Residence & Permissions applications","Received","Thailand","67","40","50","39","34","63","45","37"
"Domestic Residence & Permissions applications","Received","Timor-Leste","0","0","0","0","0","*","*","*"
"Domestic Residence & Permissions applications","Received","Togo","*","8","11","16","24","35","35","29"
"Domestic Residence & Permissions applications","Received","Tokelau","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Tonga","0","*","0","*","*","*","0","0"
"Domestic Residence & Permissions applications","Received","Trinidad and Tobago","*","*","6","*","5","7","5","4"
"Domestic Residence & Permissions applications","Received","Tunisia","6","19","14","10","10","29","74","46"
"Domestic Residence & Permissions applications","Received","Turkiye","34","48","166","181","390","666","1873","1165"
"Domestic Residence & Permissions applications","Received","Turkmenistan","0","0","*","0","0","*","*","0"
"Domestic Residence & Permissions applications","Received","Turks and Caicos Islands (the)","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Tuvalu","0","0","0","0","0","*","*","0"
"Domestic Residence & Permissions applications","Received","Uganda","11","18","22","36","38","53","65","42"
